@RELATION pacman-training

@ATTRIBUTE pacman_x NUMERIC
@ATTRIBUTE pacman_y NUMERIC
@ATTRIBUTE living_ghosts NUMERIC
@ATTRIBUTE num_food NUMERIC
@ATTRIBUTE move_west NUMERIC
@ATTRIBUTE move_east NUMERIC
@ATTRIBUTE move_north NUMERIC
@ATTRIBUTE move_south NUMERIC
@ATTRIBUTE move_stop NUMERIC
@ATTRIBUTE ghost1_x NUMERIC
@ATTRIBUTE ghost1_y NUMERIC
@ATTRIBUTE ghost1_distance NUMERIC
@ATTRIBUTE ghost1_alive NUMERIC
@ATTRIBUTE ghost2_x NUMERIC
@ATTRIBUTE ghost2_y NUMERIC
@ATTRIBUTE ghost2_distance NUMERIC
@ATTRIBUTE ghost2_alive NUMERIC
@ATTRIBUTE ghost3_x NUMERIC
@ATTRIBUTE ghost3_y NUMERIC
@ATTRIBUTE ghost3_distance NUMERIC
@ATTRIBUTE ghost3_alive NUMERIC
@ATTRIBUTE ghost4_x NUMERIC
@ATTRIBUTE ghost4_y NUMERIC
@ATTRIBUTE ghost4_distance NUMERIC
@ATTRIBUTE ghost4_alive NUMERIC
@ATTRIBUTE closest_food NUMERIC
@ATTRIBUTE score_now NUMERIC
@ATTRIBUTE living_ghosts_after NUMERIC
@ATTRIBUTE num_food_after NUMERIC
@ATTRIBUTE ghost1_distance_after NUMERIC
@ATTRIBUTE ghost1_alive_after NUMERIC
@ATTRIBUTE ghost2_distance_after NUMERIC
@ATTRIBUTE ghost2_alive_after NUMERIC
@ATTRIBUTE ghost3_distance_after NUMERIC
@ATTRIBUTE ghost3_alive_after NUMERIC
@ATTRIBUTE ghost4_distance_after NUMERIC
@ATTRIBUTE ghost4_alive_after NUMERIC
@ATTRIBUTE closest_food_after NUMERIC
@ATTRIBUTE score_after NUMERIC

@ATTRIBUTE action_taken {West, East, North, South, Stop}

@DATA
11, 9, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 15, 10, 5, 1, 23, 14, 17, 1, 0, 361, 2, 0, 0, 0, 0, 0, 4, 1, 17, 1, 0, 360, North
11, 10, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 15, 10, 4, 1, 23, 14, 17, 1, 0, 360, 2, 0, 0, 0, 0, 0, 4, 1, 17, 1, 0, 359, North
11, 11, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 14, 10, 4, 1, 24, 14, 17, 1, 0, 359, 2, 0, 0, 0, 0, 0, 6, 1, 15, 1, 0, 358, North
11, 12, 2, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 14, 9, 6, 1, 25, 14, 15, 1, 0, 358, 2, 0, 0, 0, 0, 0, 4, 1, 14, 1, 0, 357, East
12, 12, 2, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 14, 10, 4, 1, 24, 14, 14, 1, 0, 357, 2, 0, 0, 0, 0, 0, 4, 1, 13, 1, 0, 356, East
13, 12, 2, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 14, 9, 4, 1, 24, 14, 13, 1, 0, 356, 2, 0, 0, 0, 0, 0, 4, 1, 13, 1, 0, 355, East
14, 12, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 14, 8, 4, 1, 24, 14, 13, 1, 0, 355, 2, 0, 0, 0, 0, 0, 4, 1, 15, 1, 0, 354, South
14, 11, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 13, 8, 4, 1, 24, 15, 15, 1, 0, 354, 2, 0, 0, 0, 0, 0, 2, 1, 16, 1, 0, 353, South
14, 10, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 14, 8, 2, 1, 24, 16, 16, 1, 0, 353, 2, 0, 0, 0, 0, 0, 2, 1, 16, 1, 0, 352, South
14, 9, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 14, 7, 2, 1, 24, 16, 16, 1, 0, 352, 1, 0, 0, 0, 0, 0, 0, 0, 17, 1, 0, 551, South
