@RELATION pacman-training

@ATTRIBUTE pacman_x NUMERIC
@ATTRIBUTE pacman_y NUMERIC
@ATTRIBUTE living_ghosts NUMERIC
@ATTRIBUTE num_food NUMERIC
@ATTRIBUTE move_west NUMERIC
@ATTRIBUTE move_east NUMERIC
@ATTRIBUTE move_north NUMERIC
@ATTRIBUTE move_south NUMERIC
@ATTRIBUTE move_stop NUMERIC
@ATTRIBUTE ghost1_x NUMERIC
@ATTRIBUTE ghost1_y NUMERIC
@ATTRIBUTE ghost1_distance NUMERIC
@ATTRIBUTE ghost1_alive NUMERIC
@ATTRIBUTE ghost2_x NUMERIC
@ATTRIBUTE ghost2_y NUMERIC
@ATTRIBUTE ghost2_distance NUMERIC
@ATTRIBUTE ghost2_alive NUMERIC
@ATTRIBUTE ghost3_x NUMERIC
@ATTRIBUTE ghost3_y NUMERIC
@ATTRIBUTE ghost3_distance NUMERIC
@ATTRIBUTE ghost3_alive NUMERIC
@ATTRIBUTE ghost4_x NUMERIC
@ATTRIBUTE ghost4_y NUMERIC
@ATTRIBUTE ghost4_distance NUMERIC
@ATTRIBUTE ghost4_alive NUMERIC
@ATTRIBUTE closest_food NUMERIC
@ATTRIBUTE score_now NUMERIC
@ATTRIBUTE living_ghosts_after NUMERIC
@ATTRIBUTE num_food_after NUMERIC
@ATTRIBUTE ghost1_distance_after NUMERIC
@ATTRIBUTE ghost1_alive_after NUMERIC
@ATTRIBUTE ghost2_distance_after NUMERIC
@ATTRIBUTE ghost2_alive_after NUMERIC
@ATTRIBUTE ghost3_distance_after NUMERIC
@ATTRIBUTE ghost3_alive_after NUMERIC
@ATTRIBUTE ghost4_distance_after NUMERIC
@ATTRIBUTE ghost4_alive_after NUMERIC
@ATTRIBUTE closest_food_after NUMERIC
@ATTRIBUTE score_after NUMERIC

@ATTRIBUTE action_taken {West, East, North, South, Stop}

@DATA
6, 6, 3, 0, 1, 1, 1, 0, 1, 5, 9, 4, 1, 3, 1, 0, 0, 17, 6, 11, 1, 25, 13, 26, 1, 0, 161, 3, 0, 3, 1, 0, 0, 12, 1, 25, 1, 0, 160, North
6, 7, 3, 0, 1, 0, 1, 1, 1, 5, 9, 3, 1, 3, 1, 0, 0, 17, 6, 12, 1, 25, 13, 25, 1, 0, 160, 3, 0, 2, 1, 0, 0, 13, 1, 24, 1, 0, 159, North
6, 8, 3, 0, 1, 0, 1, 1, 1, 5, 9, 2, 1, 3, 1, 0, 0, 17, 6, 13, 1, 25, 13, 24, 1, 0, 159, 3, 0, 1, 1, 0, 0, 14, 1, 23, 1, 0, 158, North
6, 9, 3, 0, 1, 0, 1, 1, 1, 5, 9, 1, 1, 3, 1, 0, 0, 17, 6, 14, 1, 25, 13, 23, 1, 0, 158, 2, 0, 0, 0, 0, 0, 15, 1, 24, 1, 0, 357, West
5, 9, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 15, 1, 25, 13, 24, 1, 0, 357, 2, 0, 0, 0, 0, 0, 14, 1, 25, 1, 0, 356, South
5, 8, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 14, 1, 25, 13, 25, 1, 0, 356, 2, 0, 0, 0, 0, 0, 13, 1, 26, 1, 0, 355, South
5, 7, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 13, 1, 25, 13, 26, 1, 0, 355, 2, 0, 0, 0, 0, 0, 12, 1, 27, 1, 0, 354, South
5, 6, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 12, 1, 25, 13, 27, 1, 0, 354, 2, 0, 0, 0, 0, 0, 11, 1, 26, 1, 0, 353, East
6, 6, 2, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 11, 1, 25, 13, 26, 1, 0, 353, 2, 0, 0, 0, 0, 0, 10, 1, 25, 1, 0, 352, East
7, 6, 2, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 10, 1, 25, 13, 25, 1, 0, 352, 2, 0, 0, 0, 0, 0, 9, 1, 24, 1, 0, 351, East
