%
%  Este dataset parte de training_tutorial1
%  
%  - Se han eliminado los datos futuros
%  - Se ha eliminado el atributo 'Stop'
%  - Se ha aplicado el filtro RemoveMissClassified
%

@relation training_tutorial1_v3

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute action_taken {West,East,North,South,Stop}

@data
8,9,4,0,0,1,1,1,3,9,5,1,8,3,6,1,13,3,11,1,23,14,19,1,0,-36,South
8,8,4,0,0,1,1,1,3,10,7,1,8,3,5,1,13,4,9,1,23,13,19,1,0,-37,South
8,7,4,0,0,1,1,1,3,10,8,1,8,3,4,1,13,3,9,1,22,13,20,1,0,-38,South
8,6,4,0,1,1,1,1,3,9,8,1,9,3,4,1,13,4,7,1,22,13,21,1,0,-39,South
8,5,4,0,0,1,1,1,4,9,8,1,9,4,2,1,14,4,7,1,22,13,23,1,0,-40,South
8,4,4,0,0,1,1,1,3,9,10,1,9,4,1,1,14,3,7,1,23,13,25,1,0,-41,East
9,5,3,0,1,1,1,1,3,9,10,1,3,1,0,0,15,3,8,1,24,14,25,1,0,157,North
9,6,3,0,1,1,1,1,3,10,10,1,3,1,0,0,15,3,9,1,24,15,23,1,0,156,North
9,7,3,0,1,1,1,1,4,10,8,1,3,1,0,0,15,4,9,1,23,15,22,1,0,155,North
9,8,3,0,1,1,1,1,5,10,6,1,3,1,0,0,14,4,9,1,23,15,22,1,0,154,North
9,9,3,0,1,1,1,1,4,10,6,1,3,1,0,0,13,4,9,1,24,15,21,1,0,153,North
9,10,3,0,1,1,1,1,4,10,5,1,3,1,0,0,13,3,11,1,24,15,20,1,0,152,West
8,10,3,0,0,1,1,1,3,10,5,1,3,1,0,0,13,3,12,1,24,15,22,1,0,151,North
8,11,3,0,0,1,1,1,3,9,7,1,3,1,0,0,14,3,14,1,24,16,21,1,0,150,North
7,12,3,0,1,1,0,0,3,10,6,1,3,1,0,0,14,3,16,1,24,16,22,1,0,148,West
6,12,3,0,1,1,0,0,3,10,5,1,3,1,0,0,14,4,16,1,25,16,22,1,0,147,West
5,12,3,0,1,1,0,0,3,10,4,1,3,1,0,0,14,3,18,1,25,15,24,1,0,146,West
4,12,3,0,1,1,0,0,3,10,3,1,3,1,0,0,15,3,20,1,25,16,25,1,0,145,West
3,12,3,0,1,1,0,0,4,10,3,1,3,1,0,0,16,3,22,1,25,16,27,1,0,144,West
2,12,3,0,1,1,0,0,5,10,5,1,3,1,0,0,17,3,24,1,25,17,29,1,0,143,East
3,12,3,0,1,1,0,0,6,10,5,1,3,1,0,0,18,3,24,1,25,18,27,1,0,142,East
4,12,3,0,1,1,0,0,6,10,4,1,3,1,0,0,17,3,22,1,25,17,26,1,0,141,East
5,12,3,0,1,1,0,0,6,10,3,1,3,1,0,0,18,3,22,1,25,17,24,1,0,140,East
6,12,3,0,1,1,0,0,6,9,3,1,3,1,0,0,18,3,21,1,25,16,22,1,0,139,East
7,12,3,0,1,1,0,0,6,8,5,1,3,1,0,0,18,3,20,1,25,15,22,1,0,138,East
