%
%  Este dataset parte de training_keyboard
%  
%  - Se han eliminado los datos futuros
%  - Se ha eliminado el atributo 'Stop'
%  - Se han eliminado las instancias iniciales generadas al empezar a jugar ('Stop')
%

@relation training_keyboard_v2

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute action_taken {West,East,North,South,Stop}

@data
5,5,2,14,1,1,0,1,1,1,0,0,3,1,0,0,10,5,5,1,17,1,0,1,3,1379,East
6,5,2,14,1,1,0,0,1,1,0,0,3,1,0,0,10,5,4,1,17,1,0,1,4,1378,East
7,5,2,14,1,1,0,0,1,1,0,0,3,1,0,0,10,5,3,1,17,1,0,1,5,1377,East
8,5,2,14,1,1,0,0,1,1,0,0,3,1,0,0,10,5,2,1,17,1,0,1,6,1376,East
9,5,2,14,1,1,0,0,1,1,0,0,3,1,0,0,10,5,1,1,17,1,0,1,5,1375,East
10,5,1,14,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,4,1574,East
11,5,1,14,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,3,1573,East
12,5,1,14,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,2,1572,East
13,5,1,14,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,1571,East
14,5,1,13,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,1670,East
15,5,1,12,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,1769,East
16,5,1,11,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,1868,East
17,5,1,10,1,0,0,1,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,1967,South
17,4,1,9,0,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,2066,South
17,3,1,8,0,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,2165,South
17,2,1,7,0,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,2,2264,South
9,1,4,68,1,1,0,0,8,5,5,1,10,5,5,1,11,5,6,1,17,7,14,1,1,0,Stop
9,1,4,68,1,1,0,0,7,5,6,1,10,6,6,1,11,5,6,1,17,7,14,1,1,-1,Stop
9,1,4,68,1,1,0,0,8,5,5,1,10,5,5,1,11,5,6,1,17,7,13,1,1,-2,Stop
9,1,4,68,1,1,0,0,9,5,4,1,11,5,6,1,11,5,6,1,16,7,12,1,1,-3,Stop
9,1,4,68,1,1,0,0,9,5,4,1,11,5,6,1,10,5,5,1,15,7,12,1,1,-4,Stop
9,1,4,68,1,1,0,0,10,5,5,1,11,5,6,1,11,5,6,1,15,7,12,1,1,-5,West
8,1,4,67,1,1,1,0,9,5,5,1,10,5,6,1,11,5,7,1,15,7,12,1,1,94,West
7,1,4,66,1,1,0,0,9,4,5,1,9,5,6,1,10,5,7,1,15,6,14,1,1,193,West
6,1,4,65,1,1,1,0,9,4,6,1,9,5,7,1,10,6,9,1,15,7,14,1,1,292,North
6,2,4,64,0,0,1,1,9,4,5,1,9,4,5,1,10,5,7,1,15,6,12,1,1,391,North
6,3,4,63,1,0,1,1,9,3,3,1,9,4,4,1,10,6,7,1,15,5,10,1,1,490,North
6,4,4,62,0,0,1,1,10,3,5,1,9,4,3,1,10,6,6,1,14,5,8,1,1,589,North
6,5,4,61,1,1,1,1,10,3,6,1,9,5,3,1,9,6,4,1,13,5,8,1,1,688,East
7,5,4,61,1,1,0,0,9,3,4,1,9,6,3,1,9,5,2,1,13,6,6,1,2,687,East
8,5,4,61,1,1,0,0,8,3,2,1,9,5,1,1,10,5,2,1,13,5,5,1,2,686,East
9,5,3,61,1,1,1,1,8,3,3,1,4,1,0,0,10,6,2,1,13,5,5,1,1,885,North
9,6,2,60,0,1,1,1,8,2,5,1,4,1,0,0,5,1,0,0,13,4,5,1,1,1184,North
9,7,2,59,1,1,0,1,8,3,5,1,3,1,0,0,4,1,0,0,13,5,7,1,1,1283,East
10,7,2,58,1,1,0,1,9,3,5,1,3,2,12,0,3,1,0,0,14,5,7,1,1,1382,East
11,7,2,57,1,1,0,0,10,3,5,1,3,2,13,0,4,1,0,0,15,5,7,1,1,1481,East
12,7,2,56,1,1,0,0,11,3,5,1,3,1,0,0,3,1,0,0,16,5,7,1,1,1580,West
11,7,2,56,1,1,0,0,10,3,5,1,4,1,0,0,4,1,0,0,17,5,8,1,2,1579,West
10,7,2,56,1,1,0,1,11,3,5,1,4,1,0,0,3,1,0,0,17,5,10,1,1,1578,South
10,6,2,55,1,0,1,1,11,2,5,1,5,1,0,0,4,1,0,0,18,5,10,1,3,1677,South
10,5,2,55,1,1,1,0,11,1,0,1,5,1,0,0,5,1,0,0,18,4,9,1,3,1676,Stop
10,5,2,55,1,1,1,0,11,2,4,1,4,1,0,0,6,1,0,0,18,4,9,1,3,1675,West
9,5,2,55,1,1,1,1,11,3,4,1,4,1,0,0,6,1,0,0,18,4,11,1,3,1674,South
9,4,2,55,0,0,1,1,11,2,4,1,5,1,0,0,7,1,0,0,18,3,11,1,4,1673,South
9,3,2,55,1,1,1,0,11,2,3,1,4,1,0,0,7,1,0,0,18,2,9,1,3,1672,East
10,3,2,55,1,1,0,0,11,3,1,1,3,1,0,0,7,1,0,0,18,3,9,1,2,1671,East
11,3,1,55,1,0,0,1,1,1,0,0,3,1,0,0,6,1,0,0,18,4,7,1,2,1870,South
11,2,1,55,0,0,1,1,1,1,0,0,3,2,8,0,6,2,5,0,18,3,9,1,1,1869,South
11,1,1,54,1,1,1,0,1,1,0,0,3,3,10,0,6,1,0,0,18,4,10,1,1,1968,East
12,1,1,53,1,1,0,0,1,2,12,0,3,2,10,0,6,1,0,0,18,4,10,1,1,2067,East
13,1,1,52,1,0,1,0,1,3,14,0,3,3,12,0,6,2,8,0,18,5,9,1,1,2166,North
13,2,1,51,0,0,1,1,1,4,14,0,3,2,10,0,6,1,0,0,18,5,9,1,1,2265,North
13,3,1,50,0,0,1,1,1,5,14,0,3,3,10,0,7,1,0,0,18,6,9,1,1,2364,North
13,4,1,49,0,0,1,1,2,5,12,0,3,3,11,0,7,1,0,0,18,7,7,1,1,2463,North
13,5,1,48,0,1,1,1,2,5,11,0,4,3,11,0,8,1,0,0,18,6,6,1,1,2562,East
14,5,1,47,1,1,0,0,2,5,12,0,5,3,11,0,9,1,0,0,18,6,5,1,1,2661,East
15,5,1,46,1,1,1,0,2,5,13,0,4,3,13,0,10,1,0,0,18,6,4,1,1,2760,East
16,5,1,45,1,1,0,1,1,5,15,0,5,3,13,0,9,1,0,0,18,6,3,1,1,2859,East
17,5,1,44,1,1,0,0,1,6,17,0,4,3,15,0,8,1,0,0,18,6,2,1,1,2958,East
18,5,1,43,1,0,1,1,1,7,19,0,4,3,16,0,7,1,0,0,18,6,1,1,1,3057,North
9,1,4,68,1,1,0,0,8,5,5,1,10,5,5,1,11,5,6,1,17,7,14,1,1,0,Stop
9,1,4,68,1,1,0,0,8,5,5,1,10,5,5,1,11,5,6,1,17,7,14,1,1,-1,Stop
9,1,4,68,1,1,0,0,8,5,5,1,10,5,5,1,11,5,6,1,17,7,14,1,1,-2,Stop
9,1,4,68,1,1,0,0,8,5,5,1,10,5,5,1,11,5,6,1,17,7,14,1,1,-3,Stop
9,1,4,68,1,1,0,0,8,5,5,1,10,5,5,1,11,5,6,1,17,7,14,1,1,-4,Stop
9,1,4,68,1,1,0,0,8,5,5,1,10,5,5,1,11,5,6,1,17,7,14,1,1,-5,Stop
9,1,4,68,1,1,0,0,8,5,5,1,10,5,5,1,11,5,6,1,17,7,14,1,1,-6,West
8,1,4,67,1,1,1,0,8,5,4,1,10,5,6,1,11,5,7,1,17,7,15,1,1,93,West
7,1,4,66,1,1,0,0,8,5,5,1,10,5,7,1,11,5,8,1,17,7,16,1,1,192,West
6,1,4,65,1,1,1,0,8,5,6,1,10,5,8,1,11,5,9,1,17,7,17,1,1,291,North
6,2,4,64,0,0,1,1,8,5,5,1,10,5,7,1,11,5,8,1,17,7,16,1,1,390,North
6,3,4,63,1,0,1,1,8,5,4,1,10,5,6,1,11,5,7,1,17,7,15,1,1,489,North
6,4,4,62,0,0,1,1,8,5,3,1,10,5,5,1,11,5,6,1,17,7,14,1,1,588,North
6,5,4,61,1,1,1,1,8,5,2,1,10,5,4,1,11,5,5,1,17,7,13,1,1,687,East
7,5,4,61,1,1,0,0,8,5,1,1,10,5,3,1,11,5,4,1,17,7,12,1,2,686,East
8,5,3,61,1,1,0,0,1,1,0,0,10,5,2,1,11,5,3,1,17,7,11,1,2,885,East
9,5,3,61,1,1,1,1,1,1,0,0,10,5,1,1,11,5,2,1,17,7,10,1,1,884,East
10,5,2,61,1,1,1,0,1,1,0,0,3,1,0,0,11,5,1,1,17,7,9,1,1,1083,East
11,5,1,61,1,0,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,8,1,2,1282,Stop
11,5,1,61,1,0,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,8,1,2,1281,Stop
11,5,1,61,1,0,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,8,1,2,1280,Stop
11,5,1,61,1,0,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,8,1,2,1279,West
10,5,1,61,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,9,1,1,1278,North
10,6,1,60,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,8,1,1,1377,North
10,7,1,59,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,7,1,1,1476,East
11,7,1,58,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,6,1,1,1575,East
12,7,1,57,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,5,1,1,1674,East
13,7,1,56,1,0,0,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,4,1,1,1773,South
13,6,1,55,0,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,5,1,1,1872,South
13,5,1,54,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,6,1,1,1971,East
14,5,1,53,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,5,1,1,2070,East
15,5,1,52,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,4,1,1,2169,North
15,6,1,51,0,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,3,1,1,2268,North
