%
%  Este dataset parte de training_tutorial1_plus
%  
%  - Se han eliminado los datos futuros
%  - Se ha eliminado el atributo 'Stop'
%  - Se ha aplicado el filtro RemoveMissClassified
%

@relation training_tutorial1_v5

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute action_taken {West,East,North,South,Stop}

@data
3,6,4,0,1,1,1,1,4,7,2,1,10,6,7,1,20,5,18,1,22,14,28,1,0,-24,North
3,7,4,0,0,1,1,1,4,6,2,1,10,7,7,1,20,4,20,1,23,14,28,1,0,-25,South
3,6,3,0,1,1,1,1,1,1,0,0,10,8,9,1,21,4,20,1,24,14,30,1,0,174,North
4,7,3,0,1,1,1,1,1,1,0,0,9,7,5,1,23,4,22,1,25,14,27,1,0,172,East
5,7,3,0,1,1,1,1,1,1,0,0,9,7,4,1,23,5,20,1,24,14,25,1,0,171,East
6,6,3,0,1,1,1,0,1,1,0,0,9,7,4,1,24,6,18,1,22,14,25,1,0,169,East
7,6,3,0,1,1,0,0,1,1,0,0,9,6,2,1,24,5,18,1,23,14,23,1,0,168,East
8,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,5,16,1,23,13,23,1,0,367,South
8,5,2,0,0,1,1,1,1,1,0,0,3,1,0,0,23,6,16,1,23,14,25,1,0,366,North
8,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,5,16,1,24,14,24,1,0,365,South
8,5,2,0,0,1,1,1,1,1,0,0,3,1,0,0,23,6,16,1,24,14,26,1,0,364,North
8,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,6,15,1,25,14,24,1,0,363,East
9,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,5,15,1,24,14,23,1,0,362,South
9,5,2,0,1,1,1,1,1,1,0,0,3,1,0,0,24,5,15,1,24,14,25,1,0,361,East
10,5,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,5,13,1,24,15,25,1,0,360,East
11,5,2,0,1,0,1,1,1,1,0,0,3,1,0,0,23,4,13,1,24,16,23,1,0,359,North
11,6,2,0,1,0,1,1,1,1,0,0,3,1,0,0,24,4,15,1,23,16,22,1,0,358,North
11,7,2,0,1,0,1,1,1,1,0,0,3,1,0,0,24,3,17,1,23,16,21,1,0,357,North
11,8,2,0,1,0,1,1,1,1,0,0,3,1,0,0,24,4,17,1,23,16,19,1,0,356,North
11,9,2,0,1,0,1,1,1,1,0,0,3,1,0,0,24,3,19,1,22,16,17,1,0,355,North
11,10,2,0,1,0,1,1,1,1,0,0,3,1,0,0,24,4,19,1,21,16,17,1,0,354,North
11,11,2,0,1,0,1,1,1,1,0,0,3,1,0,0,23,4,19,1,21,17,15,1,0,353,North
11,12,2,0,1,1,0,1,1,1,0,0,3,1,0,0,24,4,21,1,20,17,14,1,0,352,East
12,12,2,0,1,1,0,0,1,1,0,0,3,1,0,0,24,3,21,1,20,17,12,1,0,351,East
13,12,2,0,1,1,0,1,1,1,0,0,3,1,0,0,24,3,20,1,19,17,12,1,0,350,East
14,12,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,3,18,1,19,18,10,1,0,349,North
14,13,2,0,0,0,1,1,1,1,0,0,3,1,0,0,23,4,18,1,18,18,10,1,0,348,North
14,14,2,0,1,1,1,1,1,1,0,0,3,1,0,0,22,4,18,1,19,18,8,1,0,347,North
