%
% Aplicados en este archivo:
%   - Eliminados atributos move_stop y todos los que acaban en _after (excepto score_after)
%   - Eliminadas todas las instancias cuya acción fuera 'Stop'
%

@relation 'pacman-training-keyboard'

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute score_after numeric

@data
4,1,4,20,1,1,0,0,1,1,0,1,1,5,7,1,10,5,10,1,17,1,0,1,1,191,290
3,1,4,19,1,1,0,0,1,1,0,1,1,5,6,1,10,5,11,1,17,1,0,1,1,290,389
2,1,4,18,1,1,0,0,1,1,0,1,1,5,5,1,10,5,12,1,17,1,0,1,2,389,788
1,1,3,18,0,1,1,0,1,1,0,0,1,5,4,1,10,5,13,1,17,1,0,1,1,788,887
1,2,3,17,0,0,1,1,1,1,0,0,1,5,3,1,10,5,12,1,17,1,0,1,1,887,986
1,3,3,16,0,0,1,1,1,1,0,0,1,5,2,1,10,5,11,1,17,1,0,1,1,986,1085
1,4,3,15,0,0,1,1,1,1,0,0,1,5,1,1,10,5,10,1,17,1,0,1,2,1085,1284
1,5,2,15,0,1,0,1,1,1,0,0,3,1,0,0,10,5,9,1,17,1,0,1,1,1283,1382
2,5,2,14,1,1,0,0,1,1,0,0,3,1,0,0,10,5,8,1,17,1,0,1,6,1382,1381
3,5,2,14,1,1,0,1,1,1,0,0,3,1,0,0,10,5,7,1,17,1,0,1,5,1381,1380
4,5,2,14,1,1,0,0,1,1,0,0,3,1,0,0,10,5,6,1,17,1,0,1,4,1380,1379
5,5,2,14,1,1,0,1,1,1,0,0,3,1,0,0,10,5,5,1,17,1,0,1,3,1379,1378
6,5,2,14,1,1,0,0,1,1,0,0,3,1,0,0,10,5,4,1,17,1,0,1,4,1378,1377
7,5,2,14,1,1,0,0,1,1,0,0,3,1,0,0,10,5,3,1,17,1,0,1,5,1377,1376
8,5,2,14,1,1,0,0,1,1,0,0,3,1,0,0,10,5,2,1,17,1,0,1,6,1376,1375
9,5,2,14,1,1,0,0,1,1,0,0,3,1,0,0,10,5,1,1,17,1,0,1,5,1375,1574
10,5,1,14,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,4,1574,1573
11,5,1,14,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,3,1573,1572
12,5,1,14,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,2,1572,1571
13,5,1,14,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,1571,1670
14,5,1,13,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,1670,1769
15,5,1,12,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,1769,1868
16,5,1,11,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,1868,1967
